Kabupaten/Kota,,,,,,,
,[SERI 2010] PDRB Atas Dasar Harga Berlaku Menurut Pengeluaran Kabupaten/Kota (Milyar Rupiah),,,,,,
,Pengeluaran Konsumsi Rumah Tangga,Pengeluaran Konsumsi LNPRT,Pengeluaran Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Net Ekspor,PDRB
,2024,2024,2024,2024,2024,2024,2024
Simeulue,2015.09,126.34,860.99,1264.84,0.37,-1116.88,3150.76
Aceh Singkil,2022.17,65.02,1036.79,1031.58,4.48,-718.96,3441.08
Aceh Selatan,4505.19,145.72,1397.89,2527.03,3.1,-1112.7,7466.23
Aceh Tenggara,4622.99,279.49,1522.39,1810.66,50.04,-1547.7,6737.89
Aceh Timur,10083.42,437.77,1757.04,4725.17,-1.08,-2066.98,14935.34
Aceh Tengah,4390.49,194.83,1594.65,4108.29,38.08,395.07,10721.42
Aceh Barat,5167.61,333.87,1602.47,5242.65,74,1632.64,14053.24
Aceh Besar,11551.44,89.06,2855.3,6393.99,37.28,-2515.02,18412.05
Pidie,9438.78,394.44,2540.49,4196.04,0.99,-2021.31,14549.43
Bireuen,10847.24,358.23,2308.87,3970.67,35.55,860.4,18380.96
Aceh Utara,14255.29,562.94,3110.01,7559.33,6.92,4589.24,30083.73
Aceh Barat Daya,2752.6,88.77,928.43,2821.54,5.8,-1229.22,5367.93
Gayo Lues,1751.61,110.02,1018.19,1346.33,26.69,-669.82,3583.01
Aceh Tamiang,5992.41,170.54,1338.04,3137,0.27,904.14,11542.4
Nagan Raya,4628.97,245.18,1191.25,3642,7.14,2717.16,12431.71
Aceh Jaya,1781.18,81.63,1062.33,1743.88,5.78,-1068.15,3606.65
Bener Meriah,2956.94,138.79,1047.26,2865.11,4.83,-492.3,6520.63
Pidie Jaya,3241.65,219.79,1042.16,1620.33,-2.47,-1396.63,4724.84
Kota Banda Aceh,13953.86,471.17,9674.07,6313.18,25.09,-4412.22,26025.15
Kota Sabang,963.14,129.18,1017.82,1161.44,4.73,-1415.21,1861.1
Kota Langsa,4488.12,186.2,1295.35,2482.34,40.29,-1168.44,7323.86
Kota Lhokseumawe,5743.7,167.1,1862.72,5276.55,61.16,-1262.99,11848.24
Kota Subulussalam,1591.09,76.31,706.88,1318.07,4.03,-934.53,2761.85
Nias,4704.38,216.72,1036.4,1307.52,4.21,-1964.61,5304.62
Mandailing Natal,12432.31,325.6,2688.4,4162.97,450.35,219.75,20279.38
Tapanuli Selatan,9706.34,152.05,1840.69,7332.9,451,1793.34,21276.31
Tapanuli Tengah,9446.3,321.15,1135.6,2582.28,89.14,96.8,13671.28
Tapanuli Utara,7092.06,598.64,1576.56,4496.28,221.6,-2705.98,11279.15
Toba Samosir,5576.38,189.59,1330.77,2258.7,134.18,794.81,10284.43
Labuhan Batu,22630.22,279.01,1599.89,10695.32,1148.02,14449.33,50801.78
Asahan,28384.01,641.29,2530.63,13779.03,416.87,11706.11,57457.93
Simalungun,28907.95,582.08,3086.79,12832.57,727.4,12769.31,58906.11
Dairi,7230.79,325.61,1258.88,3171.1,258.53,448.96,12693.88
Karo,15081.57,516.85,2161.82,9289.15,173.28,1645.21,28867.89
Deli Serdang,89503.88,852.53,5011.76,47952.74,2008.05,6122.43,151451.4
Langkat,33674.78,639.33,4505.46,12986.95,1713.67,8891.29,62411.48
Nias Selatan,7283.62,262.56,2342.83,2378.89,157.42,-3296.87,9128.45
Humbang Hasundutan,4697.35,150.24,1381.06,1975.12,6.24,62.38,8272.39
Pakpak Bharat,891.75,16.79,477.82,536.22,3.83,-207.65,1718.75
Samosir,3719.16,150.06,1102.37,909.52,195.88,23.42,6100.41
Serdang Bedagai,21048.75,431.57,2868.87,9544.41,644.85,7473.56,42012.01
Batu Bara,19100.55,381.13,2184.11,8783.42,532.55,16335.83,47317.58
Padang Lawas Utara,9524.64,241.18,1203.19,3950.83,128.82,2782.62,17831.27
Padang Lawas,7782.49,165.93,965.51,3610.34,47.1,5759.04,18330.4
Labuhan Batu Selatan,17292.89,197.66,1311.03,10842.02,1233.99,11032.06,41909.64
Labuhan Batu Utara,15926.5,312.03,1434.97,8529.8,800.57,9578.14,36582
Nias Utara,3625.6,87.83,1013.42,1487.13,172.78,-1596.35,4790.41
Nias Barat,1941.37,105.39,586.15,676.69,65.27,-843.28,2531.58
Kota Sibolga,4375.88,150.81,811.71,1288.5,99.67,475.03,7201.6
Kota Tanjung Balai,6592.76,177.81,1088.04,3692.7,136.49,519.94,12207.74
Kota Pematang Siantar,10111.38,495.4,1886.31,4158.47,439.91,260.2,17351.67
Kota Tebing Tinggi,5572.94,30.28,1366.73,2977.47,168.3,-2240.61,7875.11
Kota Medan,145424.76,1122.77,11002.69,128613.67,3164.02,40281.26,329609.17
Kota Binjai,9097.76,231.72,994.09,5240.41,43.18,-18.4,15588.75
Kota Padangsidimpuan,5450.57,324.79,1477.67,3064.79,72.31,-1813.16,8576.98
Kota Gunungsitoli,4947.66,159.81,653.78,2213.74,15.29,-668.38,7321.91
Kepulauan Mentawai,3171.37,53.39,858.01,1873.46,-4.59,294.16,6245.8
Pesisir Selatan,9773.85,205.83,1716.06,5442.77,4.88,2038.76,19182.15
Solok,10012.29,155.19,1589.34,5786.58,27.43,821.16,18391.99
Sijunjung,6501.44,97.13,1023.6,3957.18,13.92,895.66,12488.94
Tanah Datar,9973.14,222.6,1696.66,5478.91,-24.23,148.95,17496.03
Padang Pariaman,14207.05,294.97,1907.28,8617.62,-53.23,1835.27,26808.95
Agam,14927.1,304.06,1773.35,8312.8,-129.72,2788.1,27975.68
Lima Puluh Kota,11134.25,214.76,1512.98,6412.15,28.7,1547.78,20850.62
Pasaman,6388.08,131.26,1160.3,3654.09,-0.49,831.99,12165.24
Solok Selatan,4043.23,86.13,695.02,2175.87,3.77,583.85,7587.87
Dharmasraya,7723.98,140.53,1102.38,4116.18,-20.66,1265.22,14327.63
Pasaman Barat,11553.36,251.64,1505.94,6418.41,-32.43,1418.73,21115.66
Kota Padang,41835.7,937.93,9379.46,24008.24,-127.26,8148.49,84182.56
Kota Solok,2784.84,54.59,727.17,1436.17,-0.87,559.26,5561.16
Kota Sawah Lunto,2707.83,54.24,721.44,1312.96,6.37,255.17,5058
Kota Padang Panjang,2412.15,53.63,680.69,1406.47,4.26,199.76,4756.96
Kota Bukittinggi,6214.2,113.09,1209.02,3187.57,-2.55,1026.09,11747.42
Kota Payakumbuh,4256.9,82.31,953.79,2280.91,-3.43,1850.52,9421
Kota Pariaman,3522.81,77.89,731.87,1830.2,-3.15,642.28,6801.89
Kuantan Singingi,19862.98,243.47,1576.84,19160.23,47.33,11104.84,51995.69
Indragiri Hulu,23012.96,338.86,1783.91,21487.95,158.61,13695.56,60477.84
Indragiri Hilir,38650.43,610.72,2189.15,20291.46,142.91,33100.38,94985.06
Pelalawan,19909.51,293.05,1608.45,13256.75,69.42,42548.77,77685.96
Siak,28120.27,379.67,2575.67,28674.63,108.7,61263.85,121122.79
Kampar,49372,696.37,3428.67,39027.47,110.46,23789.28,116424.25
Rokan Hulu,32594.11,474.11,1544.35,12693.23,51.95,9288.97,56646.72
Bengkalis,38436.29,508.34,3845.3,35623.34,52.46,97248.06,175713.79
Rokan Hilir,32472.44,508.77,2143.13,10614.32,54.36,56700.55,102493.58
Kepulauan Meranti,9981.62,217.93,703.56,6194.93,68.38,10302.43,27468.84
Kota Pekanbaru,83501.39,1879.91,11504.06,130271.48,605.8,-56456.12,171306.52
Kota Dumai,16754.68,259.41,3035.5,20825.02,156.35,11637.15,52668.1
Kerinci,7458.93,89.74,1469,4228.54,141.71,1331.33,14719.25
Merangin,13550.29,86.04,1469.99,5125.95,109.12,5130.98,25472.37
Sarolangun,11577.27,139.4,1267.76,8285.94,351.04,1079.81,22701.23
Batang Hari,11222.42,104.76,1430.13,5519.75,192.41,7680.34,26149.8
Muaro Jambi,14649.81,167.74,1880,8833.14,-260.85,15206.15,40475.99
Tanjung Jabung Timur,8221.74,132.01,1475.49,5650.83,161.16,11655.02,27296.26
Tanjung Jabung Barat,13184.6,129.68,1288.93,8050.36,423.96,32655.32,55732.85
Tebo,11040.68,147.12,1132.7,4713.24,92.66,6782.52,23908.92
Bungo,13646.13,160.97,1457.31,7427.14,88.34,4576.48,27356.37
Kota Jambi,24109.65,772.57,7565.65,9240.72,480.6,1206.28,43375.48
Kota Sungai Penuh,4608.75,75.61,663.76,2625.22,198.14,2109.31,10280.79
Ogan Komering Ulu,13803.11,332.29,1548.77,7141.76,14.38,-2375.12,20465.17
Ogan Komering Ilir,26143.6,654.13,2805.22,13478.81,5.52,3561.73,46649.01
Muara Enim,51619.89,1725.66,3113.14,19165.53,51.7,41048.49,116724.41
